title,username,text,clean_text,sentiment
65,bicaraboxoffice,"@Dedediah1 patiently waiting for Dylan O'Brien to recover huh? Hopefully it will not lose momentum due to this pause. OW/Finish Dom's current projection is $ 24/65 million, quite drop. History OW/DOM/WW: Series 1 32/102/348 Series 2 30/81/312",patiently waiting for dylan o brien to recover huh? hopefully it will not lose momentum due to this pause ow finish dom s current projection is 24 65 million quite drop history ow dom ww series 1 32 102 348 series 2 30 81 312,Neutral
Your Place or Mine,BFI,"@beans4brekkie  ... If you’re collecting on the day, then you can pick up your ticket from the venue where the screening is taking place.",if you re collecting on the day then you can pick up your ticket from the venue where the screening is taking place,Neutral
Hunger,slashfilm,Geek Deal: The Hunger Games Trilogy on Kindle for Only $4.38 http://t.co/MkG7hxWU,geek deal the hunger games trilogy on kindle for only 4 38,Neutral
Seasons,KermodeMovie,"@RossMc11 Wanted to do the 'electric shock' thing for the 2004 Horror Season at NFT, but prevented by 'Health and Safety' issues.",wanted to do the electric shock thing for the 2004 horror season at nft but prevented by health and safety issues,Negative
The Kitchen,BFI,The Kitchen team before heading in for this evening's world premiere!   #LFF https://t.co/2hd3zEhdW6,the kitchen team before heading in for this evening s world premiere!,Positive
Seasons,hafilova,Exciting Eps 2 Season 2 Homeland! :),exciting eps 2 season 2 homeland!,Positive
Seasons,CenayangFilm,"Iseng yesterday is a one-of-one episode of episode of 4 episode a day hahahaha. This End Platinum is also apparent. Just one season, here! Anyone followed too? https://t.co/xjjzh7xacu",iseng yesterday is a one of one episode of episode of 4 episode a day hahahaha this end platinum is also apparent just one season here! anyone followed too?,Negative
Thor- Love and Thunder,ErikDavis,Notable 2021 dates: 1/15: Mortal Kombat 2/12: Shang Chi  4/2: F9 5/7: Doctor Strange 2 5/21: John Wick 4 5/21: Matrix 4 6/11: Jurassic 3 6/25: The Batman 7/9: Indy 5 7/16: Spider-Man 3 7/23: Mission 7 8/6: Suicide Squad 11/5: Thor: Love &amp  Thunder 12/17: Avatar 2 12/22: Black Adam,notable 2021 dates 1 15 mortal kombat 2 12 shang chi 4 2 f9 5 7 doctor strange 2 5 21 john wick 4 5 21 matrix 4 6 11 jurassic 3 6 25 the batman 7 9 indy 5 7 16 spider man 3 7 23 mission 7 8 6 suicide squad 11 5 thor love amp thunder 12 17 avatar 2 12 22 black adam,Positive
Seasons,MovieManID,Tips for watching season 3: just hapalin the timeline has,tips for watching season 3 just hapalin the timeline has,Negative
Layar,bicaraboxoffice,"Try putting in this perspective the Opening Day Dilan 1991 (February 28, 2019) 720 thousand viewers, the screen is of course not as much now. Proof that Indonesian films can dominate the market.  https://t.co/c6pqj4lgik",try putting in this perspective the opening day dilan 1991 february 28 2019 720 thousand viewers the screen is of course not as much now proof that indonesian films can dominate the market,Negative
The Big 4,moviemenfes,"MVS images that can be heard of dialogue wkwk who have watched The Big 4 must be not right at this scene. Anyway, it's really recommended for those who haven't watched, don't forget to watch it at N3TFLIX https://t.co/rgvasiezky",mvs images that can be heard of dialogue wkwk who have watched the big 4 must be not right at this scene anyway it s really recommended for those who haven t watched don t forget to watch it at n3tflix,Positive
Hunger,WatchmenID,"Whiplash but cook cooking.  Hunger, April 8 at @netflixid https://t.co/h78l3ukryi",whiplash but cook cooking hunger april 8 at,Negative
Hello Ghost,Rivki_Mogi,READ-(Intention LOL) RT @josep_xavier: Review #helloghost http://t.co/vwoswie | Before watching is required to provide tissue! @blitzmegaplex,read intention lol review before watching is required to provide tissue!,Negative
Hunger,ErikDavis,Will we see a ruined America in the final HUNGER GAMES movie? The director &amp  producer discuss http://t.co/lc4zSqI6Q6 http://t.co/8m9qlQOMgy,will we see a ruined america in the final hunger games movie? the director amp producer discuss,Negative
65,sinemagerbanget,"The First Official English Language Website for Godzilla has finally launched!  Nearly 65 years you know the age of Goji. If calculated from the era there is an internet year, yes around 20s you must wait for this website to launch 🤣 #2019Tapgodzilla Indeed.  https://t.co/NDYRSER2GL",the first official english language website for godzilla has finally launched! nearly 65 years you know the age of goji if calculated from the era there is an internet year yes around 20s you must wait for this website to launch indeed,Negative
Noise,zavvi,Get these Wireless AVLINK Wireless Bluetooth Noise Cancelling Headphones with a built in Radio for just £14.99- Saving £25 on RRP! https://t.co/Yd2TFeJkK0 https://t.co/pSPjvtHHq3,get these wireless avlink wireless bluetooth noise cancelling headphones with a built in radio for just 14 99 saving 25 on rrp!,Negative
Layar,sir_amirsyarif,Phew. Want to watch 'The Great Gatsby' but it turns out the film has come down from the cinema screen in Medan.,phew want to watch the great gatsby but it turns out the film has come down from the cinema screen in medan,Negative
Seasons,cinemuach,"@birucahya is crazy, mba blue in this season, dustin uwuwu is so. But the most like the character Steve anyway. Ah ❤️❤️❤️ If you make a rank maybe: 1. Steve 2. Dustin 3. Robin 4. Nancy 5. Max likes me with this season. How bout u, mba blue?",is crazy mba blue in this season dustin uwuwu is so but the most like the character steve anyway ah if you make a rank maybe 1 steve 2 dustin 3 robin 4 nancy 5 max likes me with this season how bout u mba blue?,Positive
Layar,MovieManID,#Birdbox will feel more joss if it is shown on the big screen.  Darling..,will feel more joss if it is shown on the big screen darling,Positive
Pinocchio,slashfilm,Paul Thomas Anderson Is Writing and May Direct 'Pinocchio' http://t.co/XCkDTvhMJF http://t.co/tgdV2UJWD1,paul thomas anderson is writing and may direct pinocchio,Positive
Layar,TarizSolis,"@mhy_unique Everly already appeared, it's better to choose no escape, especially this type of film that is more suitable to watch on the big screen.",everly already appeared it s better to choose no escape especially this type of film that is more suitable to watch on the big screen,Negative
Seasons,CenayangFilm,Season 3 is present.   Mantab https://t.co/9335hikhag,season 3 is present mantab,Positive
Layar,TarizSolis,The Roman Cinema network provides a lot of screens for 'Mechanic Resurrection' even though the audience's response tends to be cool.,the roman cinema network provides a lot of screens for mechanic resurrection even though the audience s response tends to be cool,Positive
Layar,danieldokter,Reportedly the value of the buying is also a higher than the summer blockbuster average. So in Push on many screens. But what are the full average? https://t.co/ks1deqi0wd,reportedly the value of the buying is also a higher than the summer blockbuster average so in push on many screens but what are the full average?,Negative
The Little Mermaid,CenayangFilm,Underwater Photoshoot - Inspired by Disney's The Little Mermaid.  Photo 1: Shenina-Angga Photo 2: Caitlin-Azof Photo 3: Sandrinna-Junior Photo 4: Syifa-Rizky for other photos can check the exhibition at the Atrium Plaza Senayan. https://t.co/zmaqoidnxj,underwater photoshoot inspired by disney s the little mermaid photo 1 shenina angga photo 2 caitlin azof photo 3 sandrinna junior photo 4 syifa rizky for other photos can check the exhibition at the atrium plaza senayan,Positive
Seasons,BFI,We're delighted to release the prize-winning comedy Hotel Salvation as part of our #IndiaOnFilm season this summer: https://t.co/zvbo4HCbbe https://t.co/8CmRwCkRzN,we re delighted to release the prize winning comedy hotel salvation as part of our season this summer,Positive
Rise,zavvi,"To celebrate the upcoming release of Star Wars: The Rise Of Skywalker on home entertainment, in this UK exclusive clip actors John Boyega and Naomi Ackie take us behind the scenes on the hit film #StarWars 🎥 https://t.co/3lFR1am5SM",to celebrate the upcoming release of star wars the rise of skywalker on home entertainment in this uk exclusive clip actors john boyega and naomi ackie take us behind the scenes on the hit film,Positive
Black Panther- Wakanda Forever,akstanwyck,@davemabaldwin @mavericksmovies No Black Panther: Wakanda Forever?,no black panther wakanda forever?,Negative
Seasons,ScreenSaversID,"Finally the weekend yesterday Namatin Season 1 Star Wars Rebels. Some interesting in season 1: - Ghost crew's relationship, especially Ezra who tried fit -in to Ghost Crew - the appearance of inquisitors (this will also appear in the Obi -Wan Kenobi series) - A number of well -nown characters appear. https://t.co/m3okawpttm",finally the weekend yesterday namatin season 1 star wars rebels some interesting in season 1 ghost crew s relationship especially ezra who tried fit in to ghost crew the appearance of inquisitors this will also appear in the obi wan kenobi series a number of well nown characters appear,Positive
Seasons,djaycoholyc,After watching #supermanandlois is good in front but the ending is rather decreased.  Hopefully season 2 is better and put Arrowverse again or maybe an interesting new character.,after watching is good in front but the ending is rather decreased hopefully season 2 is better and put arrowverse again or maybe an interesting new character,Negative
Layar,WatchmenID,"Finally, Eternals is a refreshing MCU film with stunning visuals. We recommend watching it on a screen that is as good as to really feel the Cosmic Experience ✨ https://t.co/qb9awa1aru",finally eternals is a refreshing mcu film with stunning visuals we recommend watching it on a screen that is as good as to really feel the cosmic experience,Positive
Seasons,BFI,"Travel to the 80’s in pt. two of our Jean-Luc Godard season, as the filmmaker embraces video https://t.co/bRHE9U1u21 https://t.co/TYJrl2wQ2V",travel to the 80 s in pt two of our jean luc godard season as the filmmaker embraces video,Positive
Layar,danieldokter,"YG SUPERGEDE, BLI. Saya ntn memoirs of a geisha dulu di layar tancep, di ku from ta seminyak :). Pas di pinggir pantai :) @sigilahoror",yg supergede bli saya ntn memoirs of a geisha dulu di layar tancep di ku from ta seminyak pas di pinggir pantai,Negative
Rise,danieldokter,It is really wrong indeed this Rise of the Cobra is not followed by correctly and is damaged by the whatever's retal that does not respect the franchise.,it is really wrong indeed this rise of the cobra is not followed by correctly and is damaged by the whatever s retal that does not respect the franchise,Negative
Nowhere,slashfilm,"Pop Culture Imports: 'The Disciple,' 'The Man From Nowhere,' 'Tie Me Up! Tie Me Down!' and More https://t.co/dgREEjf6yg https://t.co/KJUEaBtE8R",pop culture imports the disciple the man from nowhere tie me up! tie me down! and more,Negative
Seasons,WatchmenID,Season 3 has been released! https://t.co/zshqf3xohv,season 3 has been released!,Positive
Seasons,WatchmenID,"@Disneyplusid make sense too, if some fan theories say finse ""loki"" season 2 will end with loki so the successor of HWR, what do you think? Or will other HWR variants appear? https://t.co/kw6jiqynia",make sense too if some fan theories say finse loki season 2 will end with loki so the successor of hwr what do you think? or will other hwr variants appear?,Negative
Layar,MovieManID,Visinema will lift the Nussa animated series to the big screen next year. https://t.co/xssic4Upl6,visinema will lift the nussa animated series to the big screen next year,Positive
Seasons,BFI,Fancy joining the BFI IMAX team?  We're hiring seasonal Cinema Hosts to support our front of house and cinema operations during the summer blockbuster season!   Find out more https://t.co/PC94m3aMfG https://t.co/DQvFkg1eE9,fancy joining the bfi imax team? we re hiring seasonal cinema hosts to support our front of house and cinema operations during the summer blockbuster season! find out more,Neutral
If Anything Happens I Love You,WatchmenID,"If anything happens I love you 🥲
Animated short film

This is also on @netflixid 

#OSCARS https://t.co/ydiopqczdc",if anything happens i love you animated short film this is also on,Positive
Your Place or Mine,slashfilm,A Quiet Place is a brilliant horror film. Not sure if I’d recommend seeing it in a theater unless you are confident your audience can be quiet for long periods. Our theater had a lot of talking/phones spoiling the silent tension. Maybe best enjoyed in a dark house alone?,a quiet place is a brilliant horror film not sure if i d recommend seeing it in a theater unless you are confident your audience can be quiet for long periods our theater had a lot of talking phones spoiling the silent tension maybe best enjoyed in a dark house alone?,Positive
Village,asliga,"The alarm has been sounded during that time, there wasn't any staff who were aware. Considering that two days earlier consecutive events at Pejaten Village XXI and FX Sudirman, it was natural that people were easily panicked. Oiya during the playback of the Audi condition is quite hot, the audience next to the fans",the alarm has been sounded during that time there wasn t any staff who were aware considering that two days earlier consecutive events at pejaten village xxi and fx sudirman it was natural that people were easily panicked oiya during the playback of the audi condition is quite hot the audience next to the fans,Negative
Layar,danieldokter,RT @lalamatimothy: Behind the scenes #Tabularasafilm part 3 http://t.co/tm7llgy3sf,behind the scenes part 3,Positive
Seasons,HabisNontonFilm,Impatient D.P. Season 2. Cast 🔥 https://t.co/uvpupp6gop,impatient d p season 2 cast,Negative
Seasons,moviemenfes,MVS does anyone know Gray's Anatomy about Plane Crass. What episode? Thank you,mvs does anyone know gray s anatomy about plane crass what episode? thank you,Positive
Seasons,kampusfilmID,OFFICIAL! Season 5 #AgentsofShield will air Premiere on December 1! 🙌 #Nycc #Madingkampus https://t.co/mfaomlqnff,official! season 5 will air premiere on december 1!,Positive
Layar,bicaraboxoffice,"Today, February 13, 2021, @klikfilm launched 3 films at once to welcome the 2021 Chinese New Year holiday as well as Valentine: Rain behind the window about Rindu Milea: The sound of Dilan Extended Klikflim version is Google Cast-Friendly, so comfortable watching on the big screen! https://t.co/yd1adq6uuu",today february 13 2021 launched 3 films at once to welcome the 2021 chinese new year holiday as well as valentine rain behind the window about rindu milea the sound of dilan extended klikflim version is google cast friendly so comfortable watching on the big screen!,Positive
Seasons,GilaFilmID,"How have you watched Turn on Season 2 from 5 episodes that have aired? Still cool so far. The vibification so far is still the same as the first season and fun. The conflict is more crowded because of Ziezie, what kind of sense is the most turtle that is used to make Andreas, Mary, Flora and Dicko so ... https://t.co/l1okhhs6l7",how have you watched turn on season 2 from 5 episodes that have aired? still cool so far the vibification so far is still the same as the first season and fun the conflict is more crowded because of ziezie what kind of sense is the most turtle that is used to make andreas mary flora and dicko so,Positive
Seasons,TarizSolis,"@hyperion_lynx Oh, I watched all the versions tar, haha. where are you watching, uncle? most like season 7",oh i watched all the versions tar haha where are you watching uncle? most like season 7,Negative
Troll,moviemenfes,"MVS recommended cartoon movies like trolls again, thesis is thesis",mvs recommended cartoon movies like trolls again thesis is thesis,Positive
Bayi Ajaib,djaycoholyc,"The order of Indonesian film marathon today in Blok M Square 12.00 Ballad Si Roy 14.25 Autobiography 16,55 Baby Miraculous Happy Watching! Because everything is good.",the order of indonesian film marathon today in blok m square 12 00 ballad si roy 14 25 autobiography 16 55 baby miraculous happy watching! because everything is good,Positive
Maestro,commaditya,"Maestro says - & GT RT @guswib: a photo of a concert requires concentration, remember the push shutter !!! http://t.co/kcxqlldhv7",maestro says gt a photo of a concert requires concentration remember the push shutter !!!,Negative
Spider-Man- Across the Spider-Verse,moviemenfes,MVS Spider-Man: Across the Spider-Verse has a duration of 2 hours 20 minutes. Films with the longest duration in the history of Hollywood animated films. Aired May 31 in theaters 🕸️ https://t.co/b7ghnyhe7n,mvs spider man across the spider verse has a duration of 2 hours 20 minutes films with the longest duration in the history of hollywood animated films aired may 31 in theaters,Negative
Layar,moviegoersID,Poster IMAX Devils Devils 2: Communion. Besides the special broadcast date. July 30 also aired regularly on IMAX.  Broader screen coverage ☑️ The color spectrum is richer ☑️ Scenes is more detailed & real amp ☑️ Next-Generation Precision Sound☑️ Mother's Terror is bigger☑️ https://t.co/fpcfnsn4ls,poster imax devils devils 2 communion besides the special broadcast date july 30 also aired regularly on imax broader screen coverage the color spectrum is richer scenes is more detailed real amp next generation precision sound mother s terror is bigger,Positive
My Stupid Boss 2,moviegoersID,"Best makeup artist

Eba Sheba, Sutomo, Adi Wahono - My Stupid Boss 2

#Filmbaguscitraindonesia 
#FFI2019",best makeup artist eba sheba sutomo adi wahono my stupid boss 2,Positive
Seasons,djaycoholyc,"If I watch it directly, what should I do? https://t.co/fkrztnyqyk",if i watch it directly what should i do?,Negative
Buya Hamka,CenayangFilm,Will be divided into 3 films. Vol 1 Tomorrow Eid.   Buya Hamka https://t.co/utarwrzdoa,will be divided into 3 films vol 1 tomorrow eid buya hamka,Neutral
Hunger,commaditya,"Btw, Hunger Games: Catching Fire is a very cool bastard. Pardon my choice of words. This is really cool.",btw hunger games catching fire is a very cool bastard pardon my choice of words this is really cool,Positive
Buya Hamka,paradigmafilm,"Buya Hamka Cast and Team visited Univ Uhamka for the movie road show.  There will be a lot of spectators from this Univ, I think. The film Buya Hamka will air April 20, 2023 https://t.co/2ogidqgzWh",buya hamka cast and team visited univ uhamka for the movie road show there will be a lot of spectators from this univ i think the film buya hamka will air april 20 2023,Positive
Seasons,moviemenfes,"Fear The Walking Dead Season 8 Already aired KH he said on May 12, May 12, https://t.co/n3mwt7spmj",fear the walking dead season 8 already aired kh he said on may 12 may 12,Negative
Seasons,akstanwyck,Awards Season Video Interviews https://t.co/MEguR1znKA https://t.co/U5GYPft3xD,awards season video interviews,Positive
Seasons,MovieManID,"The concept of love comes in the wrong time is always interesting. The proof, #emilyinparis Season 2 still can make a great.   The romance is more complicated because Emily is a protagonist type that wants to help everyone. Make it annoying.   And of course the fashion is still cute! https://t.co/vadexdixu",the concept of love comes in the wrong time is always interesting the proof season 2 still can make a great the romance is more complicated because emily is a protagonist type that wants to help everyone make it annoying and of course the fashion is still cute!,Positive
"Jalan yang Jauh, Jangan Lupa Pulang",arulfittron,21. Jalan far away don't forget to go home (2023) Dir. Angga Dwimas Sasongko ★★★ ½ https://t.co/zxlnykb4cq,21 jalan far away don t forget to go home 2023 dir angga dwimas sasongko,Positive
Nowhere,moviemenfes,"MVS, do you think girl from nowhere s2 is exciting EPS?",mvs do you think girl from nowhere s2 is exciting eps?,Negative
Ballerina,BFI,"Summer Interlude was the first of Bergman’s films to focus entirely on the experiences of a woman, the tale of a ballerina recalling a joyous summer fling with an earnest admirer https://t.co/VFeKh6At98 #BFIBergman https://t.co/QzAdOPIAhj",summer interlude was the first of bergman s films to focus entirely on the experiences of a woman the tale of a ballerina recalling a joyous summer fling with an earnest admirer,Positive
Seasons,zavvi,PRE-ORDER NOW!  Doctor Who - The Collection - Season 10 - Limited Edition Packaging  Shop here &gt &gt  https://t.co/lHuApcA5IZ https://t.co/kzQ8rrcIzx,pre order now! doctor who the collection season 10 limited edition packaging shop here gt gt,Negative
Rise,slashfilm,"That scene where I rise up out of the coffin, when I read that in the script, I was like, 'How is that even possible, that I get to do that in a movie?'' https://t.co/6aFy2xnLOL""",that scene where i rise up out of the coffin when i read that in the script i was like how is that even possible that i get to do that in a movie?,Negative
Seasons,TarizSolis,"@djaycoholyc is appropriate since season 1 I used to be gatel, who is hyland like. First hudgens, but so see kunis so remember :)",is appropriate since season 1 i used to be gatel who is hyland like first hudgens but so see kunis so remember,Positive
What If,slashfilm,What if Jake Sully is a terrible character but we also kinda love him? https://t.co/7wCzppqwOS,what if jake sully is a terrible character but we also kinda love him?,Positive
Layar,danieldokter,I would be very much consider hit & amp run to be released on eid. Eid films occasionally need to refresh the genre.  Unfortunately our screen is not enough for the maximum screen distribution.,i would be very much consider hit amp run to be released on eid eid films occasionally need to refresh the genre unfortunately our screen is not enough for the maximum screen distribution,Negative
Layar,bicaraboxoffice,Add screen!  Delipark XXI Medan Add 2 more screens.  But still not IMAX.  how is that sir @danieldokter 😆,add screen! delipark xxi medan add 2 more screens but still not imax how is that sir,Negative
Seasons,BFI,"I wanted it to be more challenging, darker and more f🤬📯🎬❗️d up!"" - Elisabeth Moss on taking on a second season https://t.co/LZWPduiqnH""",i wanted it to be more challenging darker and more f d up! elisabeth moss on taking on a second season,Negative
Buffalo Boys,GilaFilmID,"Mike Wiluan seemed not to learn from the success of the headshot, just enough with a simple story and thick with a brutal and blind action scene was able to satisfy Indonesian audiences. If only the story of this film was executed and deepened by Mike Wiluan and the team even more mature, surely this story could be a cult film and would be remembered like the film Sukiyaki Western Django (2007) or The Good, The Bad & The Weird (2008). https://t.co/en8kfsop3z https://t.co/eijdgpsije",mike wiluan seemed not to learn from the success of the headshot just enough with a simple story and thick with a brutal and blind action scene was able to satisfy indonesian audiences if only the story of this film was executed and deepened by mike wiluan and the team even more mature surely this story could be a cult film and would be remembered like the film sukiyaki western django 2007 or the good the bad the weird 2008,Positive
Seasons,djaycoholyc,Revenge Full Season is in @disneyplusid American version of the injured angel soap opera 😗,revenge full season is in american version of the injured angel soap opera,Negative
Knights of the Zodiac,sinemagerbanget,@Ekubaruna the new series (Knights of the Zodiac) on July 19. The Lost Canvas is still there.,the new series knights of the zodiac on july 19 the lost canvas is still there,Negative
Dallas Buyers Club,CenayangFilm,Jared Letti Tsantik RT @_adeaditya: @cenyayangfilm homophobic !!! Haven't watched Dallas Buyers Club definitely !!!! I'm Bencik !!,jared letti tsantik homophobic !!! haven t watched dallas buyers club definitely !!!! i m bencik !!,Negative
Man in Love,Rivki_Mogi,"Man In Love is like watching the movie omnibus the title, I want to shoot you. All pictures are handsome. #Favkmv2013",man in love is like watching the movie omnibus the title i want to shoot you all pictures are handsome,Positive
Seasons,djaycoholyc,"And the focus of season 2 is really rather splitting but it seems more to Maria anyway, a whole season only he is given a portion of the story that is more than the other.",and the focus of season 2 is really rather splitting but it seems more to maria anyway a whole season only he is given a portion of the story that is more than the other,Positive
Noise,CenayangFilm,The addition of noises in the deh. Chapter.,the addition of noises in the deh chapter,Negative
Meter,commaditya,"Derik strong rain storms, pounding lightning and rumbling waves as high as 20 meters in front of me. Her beautiful orchestration. I surrender. @Fiksimini",derik strong rain storms pounding lightning and rumbling waves as high as 20 meters in front of me her beautiful orchestration i surrender,Positive
Pinocchio,moviemenfes,"Who have watched the new MVS Pinocchio, review 😂 https://t.co/aiur88ovwp",who have watched the new mvs pinocchio review,Positive
Paradise,akstanwyck,‘Rebuilding Paradise’: Ron Howard Jumped Into a Documentary Without Knowing Where the Story Was https://t.co/0VI7b5BICy via @indiewire,rebuilding paradise ron howard jumped into a documentary without knowing where the story was via,Negative
Cash,Rivki_Mogi,@Veryluckylady88 @uber_idn @ardnas_20 Ktr region every order always can walk without me. Now use cash or grab to be safe,ktr region every order always can walk without me now use cash or grab to be safe,Negative
Layar,djaycoholyc,So yes Tuips if using hestek #BN2012 appears on the big screen. Said om @arhamkendari like that xD,so yes tuips if using hestek appears on the big screen said om like that xd,Negative
Happy Ending,TarizSolis,@Novicozaldy is good on average. Ha ha ha. Our Times from Taiwan is one of the happy ending.,is good on average ha ha ha our times from taiwan is one of the happy ending,Positive
Leo,sir_amirsyarif,@ardnas_20 @awya leo was already very frosted yesterday. That's why he was surprised that he still looked really shocked.,leo was already very frosted yesterday that s why he was surprised that he still looked really shocked,Negative
Seasons,zavvi,#ZavviExclusive Jessica Jones Season 1 Limited Edition SteelBook now available to pre-order! @MarvelUK - https://t.co/JnW1NdU9LN https://t.co/zFa3E5c5QZ,jessica jones season 1 limited edition steelbook now available to pre order!,Positive
Cash,djaycoholyc,@inekdoks @cho_ro fortunately I bought it cash,fortunately i bought it cash,Positive
Seasons,paradigmafilm,Jujutsu Kaisen Season 2 can already be watched at @netflixid and at @primevideoid.  Just choose where you want to watch. https://t.co/sliqmfoe3t,jujutsu kaisen season 2 can already be watched at and at just choose where you want to watch,Negative
Layar,TarizSolis,@danieldokter @greg_ivan looks from his weekly box office revenue that is increasingly nyungsep. The addition of the screen is not at all.,looks from his weekly box office revenue that is increasingly nyungsep the addition of the screen is not at all,Negative
Seasons,TarizSolis,"@djaycoholyc @arms48 is not comparingin, but from the beginning the intention is that right? Really obvious. Desperate to take 2 seasons at once in a year.",is not comparingin but from the beginning the intention is that right? really obvious desperate to take 2 seasons at once in a year,Negative
Left Behind,Elbert_Reyner,Hahahaha it turns out that tomorrow Left Behind that airs in theaters. Movie models that don't need to be watched: p,hahahaha it turns out that tomorrow left behind that airs in theaters movie models that don t need to be watched p,Negative
Ketika Berhenti di Sini,paradigmafilm,"When stopping here Teaser July 27, 2023 in theaters ~ https://t.co/bhwtdhamhb",when stopping here teaser july 27 2023 in theaters,Positive
65,aerorun,"Roma (2018) seems like it can't call this one film Alexa Arri 65 makes visual bold, sharp with a depth that also prefers slow pan from zoom and minimal motion is right to tell stories to place the audience as an objective observer not as a perpetrator https://t.co/fodl9bmasp",roma 2018 seems like it can t call this one film alexa arri 65 makes visual bold sharp with a depth that also prefers slow pan from zoom and minimal motion is right to tell stories to place the audience as an objective observer not as a perpetrator,Positive
Layar,TarizSolis,Bucking. 'Victor Frankenstein' only got an average of $ 250 from 2700 screen cinema that aired.  Can't imagine what a single one.,bucking victor frankenstein only got an average of 250 from 2700 screen cinema that aired can t imagine what a single one,Negative
Like & Share,ErikDavis,My family like to remind me how many random baseball players share my name by collecting their cards for me http://t.co/pO0wnyea5X,my family like to remind me how many random baseball players share my name by collecting their cards for me,Positive
Cash,ErikDavis,"Reunited w/ the great @ralphmacchio &amp  @WilliamZabka to continue @RottenTomatoes Oral History"" of #CobraKai w/ an extended chat (w/ SPOILERS!) about some of Season 3's best moments. Tango &amp  Cash! The impact of KARATE KID II! Ali with an I! Check it out https://t.co/BN7538yInv""",reunited w the great amp to continue oral history of w an extended chat w spoilers! about some of season 3 s best moments tango amp cash! the impact of karate kid ii! ali with an i! check it out,Positive
What If,moviemenfes,MVS to work on Dsmom watching what if there is a specific episode guys? PGN Speedrun,mvs to work on dsmom watching what if there is a specific episode guys? pgn speedrun,Negative
Seasons,slashfilm,Jodie Foster will star in #TrueDetective season 4. https://t.co/byPTGMurzC,jodie foster will star in season 4,Positive
Seasons,HabisNontonFilm,@ky00te wah which season?,wah which season?,Negative
You People,ErikDavis,"I hope you all have a great year. Be merry. Watch lots of movies. Eat some pizza. Enjoy yourself. And most of all, just be nice to people.",i hope you all have a great year be merry watch lots of movies eat some pizza enjoy yourself and most of all just be nice to people,Positive
Seasons,zavvi,"@steelbookfinder Pretty swell, we're gearing up for a super busy season now and there's some really exciting stuff coming up! https://t.co/YAf5QxFzeA",pretty swell we re gearing up for a super busy season now and there s some really exciting stuff coming up!,Positive
Seasons,akstanwyck,"‘The Mandalorian’ Season 2 Review: Episode 1 Stretches its Long Game in a Pretty, Trivial Premiere https://t.co/GlvlPjy0qf via @indiewire",the mandalorian season 2 review episode 1 stretches its long game in a pretty trivial premiere via,Negative
Seasons,slashfilm,"There was romance in the air, new takes on sports anime, and plenty of surprising premieres.  Here are the best anime of the spring 2022 season.  https://t.co/bXbbJcONXS",there was romance in the air new takes on sports anime and plenty of surprising premieres here are the best anime of the spring 2022 season,Positive
Layar,cinemuach,"Teaser poster ""Lampir"" new film directed by Kenny Gulardi who is also Ardina Rasti's comeback to the big screen! Is this the version of Kinnya the figure of Legend Mak Lampir? We just look forward to.  Again, the poster of a horror movie whose font is not red, yes. https://t.co/rm5rukcmrv",teaser poster lampir new film directed by kenny gulardi who is also ardina rasti s comeback to the big screen! is this the version of kinnya the figure of legend mak lampir? we just look forward to again the poster of a horror movie whose font is not red yes,Positive
Seasons,akstanwyck,@mccuddles @HBO @lenadunham @CNN @AmazonStudios @netflix I’m in the midst of Oscar season so the fact that I’m watching TV at all is crazy—it’s my escape as well as checking out future Emmy contenders for next year. So I either hang in for sheer pleasure or awards consideration. Sampling indeed.,i m in the midst of oscar season so the fact that i m watching tv at all is crazy it s my escape as well as checking out future emmy contenders for next year so i either hang in for sheer pleasure or awards consideration sampling indeed,Positive
Hello Ghost,hafilova,"Triple Combo Adaptation from South Korean films The most popular already has an official poster date of release!  ✅️ My Sassy Girl (June 23, 2022) ✅️ Hello Ghost (October 20, 2022) ✅️ Miracle on Cell No. 7 (8 September 2022) https://t.co/qg5i3eexel",triple combo adaptation from south korean films the most popular already has an official poster date of release! my sassy girl june 23 2022 hello ghost october 20 2022 miracle on cell no 7 8 september 2022,Neutral
Seasons,WatchmenID,Season 1 is good.  👍,season 1 is good,Positive
Fenómenas,Elbert_Reyner,Yeah. This Potc's first trilogy was phenomenal and very good. The 4 and 5 films cannot match his awesomeness.,yeah this potc s first trilogy was phenomenal and very good the 4 and 5 films cannot match his awesomeness,Positive
Layar,GilaFilmID,"What makes it crowded in the crazy group of movies today. Original Cast 'Cemara Family' Series will continue to continue its role in the big screen version with the title 'Thank you Mother, Thank you Abah'. This film has nothing to do with Vers ... https://t.co/n1j6emspie https://t.co/tt0ryuhzwh",what makes it crowded in the crazy group of movies today original cast cemara family series will continue to continue its role in the big screen version with the title thank you mother thank you abah this film has nothing to do with vers,Positive
Seasons,arulfittron,3. Diary of a Future President (2020) will not stop recommending this series to many people.  Who would have thought the problem of kicik children can be deep too. Very sweet. Can't wait season 2!  https://t.co/xe4unflawk,3 diary of a future president 2020 will not stop recommending this series to many people who would have thought the problem of kicik children can be deep too very sweet can t wait season 2!,Positive
Hunger,arulfittron,Waiting for an email reply from @indohungergames about PO the Hunger Games. Hehehe: D.,waiting for an email reply from about po the hunger games hehehe d,Negative
Bayi Ajaib,djaycoholyc,Miraculous babies are also rejected. https://t.co/hnsv0vbgac,miraculous babies are also rejected,Negative
